"";"G7";"s90"
"0:00";0;0
"1:00";0;1
"2:00";0;0
"3:00";0;1
"4:00";0;1
"5:00";0;0
"6:00";1;0
"7:00";0;2
"8:00";1;0
"9:00";2;0
"10:00";0;2
"11:00";4;0
"12:00";0;2
"13:00";0;2
"14:00";0;0
"15:00";0;0
"16:00";1;0
"17:00";1;0
"18:00";0;0
"19:00";0;0
"20:00";0;1
"21:00";0;2
"22:00";4;1
"23:00";1;1
"24:00";1;2
"25:00";2;0
"26:00";1;1
"27:00";1;2
"28:00";1;0
"29:00";0;0
"30:00";0;0
"31:00";0;1
"32:00";1;0
"33:00";0;1
"34:00";0;0
"35:00";0;0
"36:00";0;0
"37:00";0;0
"38:00";0;0
"39:00";0;0
"40:00";0;0
"41:00";0;0
"42:00";0;0
"43:00";0;0
"44:00";0;0
"45:00";0;0
"46:00";0;0
"47:00";0;0
"48:00";0;0
