"";"G12";"s90"
"0:00";0;0
"1:00";0;0
"2:00";1;0
"3:00";0;0
"4:00";4;0
"5:00";0;2
"6:00";3;1
"7:00";3;0
"8:00";3;0
"9:00";2;0
"10:00";5;0
"11:00";3;1
"12:00";2;0
"13:00";0;1
"14:00";3;0
"15:00";4;2
"16:00";2;1
"17:00";3;0
"18:00";4;0
"19:00";3;1
"20:00";3;1
"21:00";3;0
"22:00";5;0
"23:00";4;0
"24:00";5;1
"25:00";8;1
"26:00";0;0
"27:00";4;1
"28:00";1;0
"29:00";2;0
"30:00";1;0
"31:00";1;0
"32:00";0;0
"33:00";0;1
"34:00";0;0
"35:00";0;0
"36:00";0;0
"37:00";0;0
"38:00";0;0
"39:00";0;0
"40:00";0;0
"41:00";0;0
"42:00";0;0
"43:00";0;0
"44:00";0;0
"45:00";0;0
"46:00";0;0
"47:00";0;0
"48:00";0;0
