"";"G11";"s90"
"0:00";0;0
"1:00";0;0
"2:00";1;0
"3:00";0;0
"4:00";2;0
"5:00";2;0
"6:00";1;1
"7:00";3;0
"8:00";4;1
"9:00";1;2
"10:00";3;0
"11:00";4;0
"12:00";0;0
"13:00";2;0
"14:00";4;0
"15:00";2;0
"16:00";2;0
"17:00";3;0
"18:00";1;0
"19:00";1;0
"20:00";3;3
"21:00";3;1
"22:00";9;0
"23:00";1;2
"24:00";1;2
"25:00";6;0
"26:00";2;1
"27:00";5;1
"28:00";2;0
"29:00";0;0
"30:00";0;0
"31:00";0;0
"32:00";0;0
"33:00";0;0
"34:00";0;0
"35:00";0;0
"36:00";0;0
"37:00";0;0
"38:00";0;0
"39:00";0;0
"40:00";0;0
"41:00";0;0
"42:00";0;0
"43:00";0;0
"44:00";0;0
"45:00";0;0
"46:00";0;0
"47:00";0;0
"48:00";0;0
