"";"G8";"s90"
"0:00";0;0
"1:00";0;0
"2:00";0;0
"3:00";4;2
"4:00";3;0
"5:00";3;1
"6:00";1;1
"7:00";2;1
"8:00";1;0
"9:00";4;0
"10:00";2;0
"11:00";2;0
"12:00";3;0
"13:00";3;0
"14:00";2;0
"15:00";1;0
"16:00";2;0
"17:00";2;0
"18:00";2;0
"19:00";1;1
"20:00";2;1
"21:00";6;0
"22:00";1;3
"23:00";4;0
"24:00";1;2
"25:00";4;1
"26:00";2;1
"27:00";2;1
"28:00";0;0
"29:00";0;0
"30:00";0;0
"31:00";0;0
"32:00";0;0
"33:00";0;0
"34:00";0;0
"35:00";0;0
"36:00";0;0
"37:00";0;0
"38:00";0;0
"39:00";0;0
"40:00";0;0
"41:00";0;0
"42:00";0;0
"43:00";0;0
"44:00";0;0
"45:00";0;0
"46:00";0;0
"47:00";0;0
"48:00";0;0
